split,transition,risk_level,audit_result,primary_anomaly_type,case_count
test_clean,m2_wrong_to_m3_correct,high,reject_recommendation,applicant_mismatch,3
test_clean,m2_wrong_to_m3_correct,high,reject_recommendation,merchant_mismatch,1
test_clean,m2_wrong_to_m3_correct,high,reject_recommendation,order_id_mismatch,5
test_clean,m2_wrong_to_m3_correct,low,pass,none,1
test_clean,m2_wrong_to_m3_correct,medium,manual_review,amount_mismatch,1
test_hard_negative,both_correct,high,reject_recommendation,applicant_mismatch,96
test_hard_negative,both_correct,high,reject_recommendation,merchant_mismatch,98
test_hard_negative,both_correct,high,reject_recommendation,order_id_mismatch,36
test_hard_negative,both_correct,medium,manual_review,amount_mismatch,47
test_hard_negative,both_wrong,high,reject_recommendation,amount_mismatch,9
test_hard_negative,both_wrong,high,reject_recommendation,applicant_mismatch,8
test_hard_negative,both_wrong,high,reject_recommendation,merchant_mismatch,10
test_hard_negative,both_wrong,high,reject_recommendation,order_id_mismatch,60
test_hard_negative,both_wrong,medium,manual_review,amount_mismatch,6
test_hard_negative,m2_correct_to_m3_wrong,high,reject_recommendation,amount_mismatch,57
test_hard_negative,m2_correct_to_m3_wrong,high,reject_recommendation,applicant_mismatch,9
test_hard_negative,m2_correct_to_m3_wrong,high,reject_recommendation,merchant_mismatch,8
test_hard_negative,m2_correct_to_m3_wrong,high,reject_recommendation,order_id_mismatch,14
test_hard_negative,m2_correct_to_m3_wrong,medium,manual_review,amount_mismatch,2
test_hard_negative,m2_wrong_to_m3_correct,high,reject_recommendation,applicant_mismatch,12
test_hard_negative,m2_wrong_to_m3_correct,high,reject_recommendation,merchant_mismatch,9
test_hard_negative,m2_wrong_to_m3_correct,high,reject_recommendation,order_id_mismatch,15
test_hard_negative,m2_wrong_to_m3_correct,medium,manual_review,amount_mismatch,4
test_robust,both_correct,high,manual_review,unreadable_image,27
test_robust,both_correct,high,missing_info,missing_document,32
test_robust,both_correct,high,reject_recommendation,applicant_mismatch,37
test_robust,both_correct,high,reject_recommendation,merchant_mismatch,39
test_robust,both_correct,high,reject_recommendation,order_id_mismatch,14
test_robust,both_correct,high,reject_recommendation,over_reimbursement,8
test_robust,both_correct,low,pass,none,45
test_robust,both_correct,medium,manual_review,amount_mismatch,22
test_robust,both_correct,medium,manual_review,over_reimbursement,18
test_robust,both_correct,medium,manual_review,unreadable_image,15
test_robust,both_correct,medium,missing_info,missing_document,10
test_robust,both_wrong,high,manual_review,unreadable_image,1
test_robust,both_wrong,high,reject_recommendation,amount_mismatch,2
test_robust,both_wrong,high,reject_recommendation,applicant_mismatch,5
test_robust,both_wrong,high,reject_recommendation,date_mismatch,15
test_robust,both_wrong,high,reject_recommendation,duplicate_in_batch,50
test_robust,both_wrong,high,reject_recommendation,merchant_mismatch,6
test_robust,both_wrong,high,reject_recommendation,order_id_mismatch,25
test_robust,both_wrong,high,reject_recommendation,over_reimbursement,4
test_robust,both_wrong,low,pass,none,1
test_robust,both_wrong,medium,manual_review,date_mismatch,35
test_robust,both_wrong,medium,missing_info,missing_document,2
test_robust,m2_correct_to_m3_wrong,high,manual_review,unreadable_image,1
test_robust,m2_correct_to_m3_wrong,high,missing_info,missing_document,2
test_robust,m2_correct_to_m3_wrong,high,reject_recommendation,amount_mismatch,24
test_robust,m2_correct_to_m3_wrong,high,reject_recommendation,applicant_mismatch,2
test_robust,m2_correct_to_m3_wrong,high,reject_recommendation,merchant_mismatch,1
test_robust,m2_correct_to_m3_wrong,high,reject_recommendation,order_id_mismatch,5
test_robust,m2_correct_to_m3_wrong,high,reject_recommendation,over_reimbursement,18
test_robust,m2_correct_to_m3_wrong,low,pass,none,2
test_robust,m2_correct_to_m3_wrong,medium,manual_review,over_reimbursement,1
test_robust,m2_correct_to_m3_wrong,medium,manual_review,unreadable_image,1
test_robust,m2_wrong_to_m3_correct,high,manual_review,unreadable_image,5
test_robust,m2_wrong_to_m3_correct,high,missing_info,missing_document,2
test_robust,m2_wrong_to_m3_correct,high,reject_recommendation,applicant_mismatch,6
test_robust,m2_wrong_to_m3_correct,high,reject_recommendation,merchant_mismatch,4
test_robust,m2_wrong_to_m3_correct,high,reject_recommendation,order_id_mismatch,6
test_robust,m2_wrong_to_m3_correct,low,pass,none,2
test_robust,m2_wrong_to_m3_correct,medium,manual_review,amount_mismatch,2
test_robust,m2_wrong_to_m3_correct,medium,manual_review,over_reimbursement,1
test_robust,m2_wrong_to_m3_correct,medium,missing_info,missing_document,2
test_unseen_template,both_correct,high,manual_review,unreadable_image,31
test_unseen_template,both_correct,high,missing_info,missing_document,32
test_unseen_template,both_correct,high,reject_recommendation,applicant_mismatch,39
test_unseen_template,both_correct,high,reject_recommendation,merchant_mismatch,38
test_unseen_template,both_correct,high,reject_recommendation,order_id_mismatch,7
test_unseen_template,both_correct,high,reject_recommendation,over_reimbursement,5
test_unseen_template,both_correct,low,pass,none,40
test_unseen_template,both_correct,medium,manual_review,amount_mismatch,18
test_unseen_template,both_correct,medium,manual_review,over_reimbursement,15
test_unseen_template,both_correct,medium,manual_review,unreadable_image,13
test_unseen_template,both_correct,medium,missing_info,missing_document,10
test_unseen_template,both_wrong,high,manual_review,unreadable_image,1
test_unseen_template,both_wrong,high,missing_info,missing_document,4
test_unseen_template,both_wrong,high,reject_recommendation,amount_mismatch,5
test_unseen_template,both_wrong,high,reject_recommendation,applicant_mismatch,7
test_unseen_template,both_wrong,high,reject_recommendation,date_mismatch,17
test_unseen_template,both_wrong,high,reject_recommendation,duplicate_in_batch,49
test_unseen_template,both_wrong,high,reject_recommendation,merchant_mismatch,4
test_unseen_template,both_wrong,high,reject_recommendation,order_id_mismatch,23
test_unseen_template,both_wrong,high,reject_recommendation,over_reimbursement,4
test_unseen_template,both_wrong,low,pass,none,3
test_unseen_template,both_wrong,medium,manual_review,amount_mismatch,2
test_unseen_template,both_wrong,medium,manual_review,date_mismatch,33
test_unseen_template,both_wrong,medium,manual_review,unreadable_image,3
test_unseen_template,m2_correct_to_m3_wrong,high,manual_review,unreadable_image,1
test_unseen_template,m2_correct_to_m3_wrong,high,missing_info,missing_document,3
test_unseen_template,m2_correct_to_m3_wrong,high,reject_recommendation,amount_mismatch,23
test_unseen_template,m2_correct_to_m3_wrong,high,reject_recommendation,applicant_mismatch,2
test_unseen_template,m2_correct_to_m3_wrong,high,reject_recommendation,duplicate_in_batch,1
test_unseen_template,m2_correct_to_m3_wrong,high,reject_recommendation,merchant_mismatch,6
test_unseen_template,m2_correct_to_m3_wrong,high,reject_recommendation,order_id_mismatch,10
test_unseen_template,m2_correct_to_m3_wrong,high,reject_recommendation,over_reimbursement,22
test_unseen_template,m2_correct_to_m3_wrong,low,pass,none,4
test_unseen_template,m2_correct_to_m3_wrong,medium,manual_review,amount_mismatch,2
test_unseen_template,m2_correct_to_m3_wrong,medium,manual_review,over_reimbursement,2
test_unseen_template,m2_wrong_to_m3_correct,high,manual_review,unreadable_image,1
test_unseen_template,m2_wrong_to_m3_correct,high,missing_info,missing_document,1
test_unseen_template,m2_wrong_to_m3_correct,high,reject_recommendation,applicant_mismatch,2
test_unseen_template,m2_wrong_to_m3_correct,high,reject_recommendation,merchant_mismatch,2
test_unseen_template,m2_wrong_to_m3_correct,high,reject_recommendation,order_id_mismatch,10
test_unseen_template,m2_wrong_to_m3_correct,high,reject_recommendation,over_reimbursement,1
test_unseen_template,m2_wrong_to_m3_correct,low,pass,none,3
test_unseen_template,m2_wrong_to_m3_correct,medium,manual_review,over_reimbursement,1
